State,Rice,Wheat,Corn,Feeds,Grain Products
Alabama,0.0,22.7,26.1,30.2,13.9
Alaska,0.0,0.0,0.0,0.9,0.4
Arizona,0.0,15.9,4.9,47.1,20.1
Arkansas,722.0,10.0,71.4,73.2,89.6
California,608.0,30.5,7.3,119.1,100.1
Colorado,0.0,253.0,88.1,172.9,89.3
Connecticut,0.0,0.0,0.0,0.7,0.3
Delaware,0.0,11.8,14.9,14.2,6.6
Florida,0.0,0.0,6.0,12.8,5.1
Georgia,0.0,8.8,35.1,39.4,16.5
Hawaii,0.0,0.0,0.0,0.0,0.0
Idaho,0.0,348.2,18.1,117.8,75.0
Illinois,0.0,128.2,"1,177.8","1,091.4",445.7
Indiana,0.0,56.0,533.5,498.6,203.3
Iowa,0.0,0.0,"1,336.0","1,241.8",495.2
Kansas,0.0,955.0,382.5,480.8,268.8
Kentucky,0.0,85.9,122.0,144.3,64.5
Louisiana,224.3,0.0,49.6,49.1,38.1
Maine,0.0,0.0,0.0,2.2,0.9
Maryland,0.0,41.7,38.3,39.5,19.1
Massachusetts,0.0,0.0,0.0,0.9,0.4
Michigan,0.0,123.9,149.6,152.6,71.3
Minnesota,0.0,285.5,675.5,641.9,279.3
Mississippi,76.0,3.8,57.1,57.4,29.4
Missouri,119.0,90.4,263.2,269.2,124.4
Montana,0.0,689.9,3.3,98.5,94.8
Nebraska,0.0,150.5,958.7,919.1,379.1
Nevada,0.0,0.0,0.0,21.0,8.4
New Hampshire,0.0,0.0,0.0,0.5,0.2
New Jersey,0.0,3.1,5.1,6.3,2.8
New Mexico,0.0,8.3,4.0,21.2,9.1
New York,0.0,18.2,55.7,70.5,29.7
North Carolina,0.0,49.7,67.5,74.5,34.0
North Dakota,0.0,"1,077.2",209.4,225.0,176.9
Ohio,0.0,83.4,300.7,293.5,123.7
Oklahoma,0.0,309.7,22.9,51.0,45.8
Oregon,0.0,193.0,5.6,58.9,39.0
Pennsylvania,0.0,36.8,80.8,101.3,43.5
Rhode Island,0.0,0.0,0.0,0.1,0.0
South Carolina,0.0,8.7,26.7,27.7,11.9
South Dakota,0.0,217.9,343.7,350.1,157.6
Tennessee,0.0,56.8,76.1,91.4,41.0
Texas,116.5,213.9,166.2,255.4,128.9
Utah,0.0,21.6,2.4,40.3,17.8
Vermont,0.0,0.0,0.0,2.3,0.9
Virginia,0.0,24.0,29.3,42.2,18.7
Washington,0.0,551.6,12.2,61.6,68.9
West Virginia,0.0,0.0,3.1,7.7,3.1
Wisconsin,0.0,33.6,214.9,218.0,90.0
Wyoming,0.0,12.9,5.7,44.0,18.6
